Entity,CodeYear,Population (historical estimates),ROUND GDP,GDP/POPULATION,EDU Exp. Per Person Absolute
Albania,ALB2005,3032636,8052077248,2655,87
Albania,ALB2006,3003391,8896075005,2962,95
Albania,ALB2007,2976089,10677324853,3588,118
Albania,ALB2008,2951690,12881352894,4364,153
Albania,ALB2010,2913402,11926926616,4094,140
Albania,ALB2011,2900660,12890760315,4444,144
Albania,ALB2012,2892191,12319834195,4260,141
Albania,ALB2013,2887019,12776224497,4425,157
Albania,ALB2014,2884100,13228147516,4587,148
Albania,ALB2015,2882482,11386853113,3950,136
Albania,ALB2016,2881064,11861199831,4117,163
Albania,ALB2017,2879361,13019726212,4522,163
Albania,ALB2018,2877019,15156424015,5268,166
Albania,ALB2019,2873883,15401826127,5359,210
Albania,ALB2020,2866850,15162734205,5289,177
Albania,ALB2021,2854710,17930565119,6281,190
Argentina,ARG2000,37070772,284203750000,7667,351
Argentina,ARG2001,37480492,268696750000,7169,347
Argentina,ARG2002,37885024,97724004252,2579,104
Argentina,ARG2003,38278164,127586973492,3333,118
Argentina,ARG2004,38668796,164657930453,4258,148
Argentina,ARG2005,39070504,198737095012,5087,196
Argentina,ARG2006,39476856,232557260817,5891,243
Argentina,ARG2007,39876116,287530508431,7211,322
Argentina,ARG2008,40273768,361558037110,8978,435
Argentina,ARG2009,40684344,332976484578,8184,453
Argentina,ARG2010,41100124,423627422092,10307,517
Argentina,ARG2011,41520736,530158122010,12769,676
Argentina,ARG2012,41952364,545982375701,13014,696
Argentina,ARG2013,42388268,552025140252,13023,708
Argentina,ARG2014,42824064,526319673732,12290,659
Argentina,ARG2015,43257064,594749285413,13749,794
Argentina,ARG2016,43668236,557532320663,12767,708
Argentina,ARG2017,44054616,643628393281,14610,797
Argentina,ARG2018,44413592,524819892360,11817,576
Argentina,ARG2019,44745516,447754683615,10007,478
Argentina,ARG2020,45036032,385740508437,8565,452
Argentina,ARG2021,45276788,487902572164,10776,501
Australia,AUS2000,19017968,416167815093,21883,1069
Australia,AUS2005,20171732,695692898677,34489,1689
Australia,AUS2006,20467032,748417562770,36567,1733
Australia,AUS2007,20830832,855007458585,41045,1910
Australia,AUS2008,21247876,1056112427190,49704,2302
Australia,AUS2009,21660898,928762122698,42877,2179
Australia,AUS2010,22019166,1148890200292,52177,2890
Australia,AUS2011,22357032,1398701323030,62562,3171
Australia,AUS2012,22729272,1547649835733,68091,3314
Australia,AUS2013,23111788,1577301840200,68247,3569
Australia,AUS2014,23469578,1468597690006,62575,3232
Australia,AUS2015,23820240,1351768945139,56749,3016
Australia,AUS2016,24195706,1207580901579,49909,2639
Australia,AUS2017,24590336,1326882104817,53959,2773
Australia,AUS2018,24979228,1429733668186,57237,2933
Australia,AUS2019,25357168,1394671325961,55001,2824
Australia,AUS2020,25670052,1330381544909,51826,2907
Australia,AUS2021,25921094,1559033756285,60145,3446
Austria,AUT2000,8010425,197289625480,24629,1376
Austria,AUT2001,8039633,197508773215,24567,1370
Austria,AUT2002,8078994,214394866675,26537,1465
Austria,AUT2003,8120105,262273631180,32299,1732
Austria,AUT2004,8171215,301457562039,36893,1956
Austria,AUT2005,8227034,316092273276,38421,2017
Austria,AUT2006,8267771,336280064332,40674,2126
Austria,AUT2007,8294720,389185571506,46920,2415
Austria,AUT2008,8321134,432051935643,51922,2733
Austria,AUT2009,8342939,401758735822,48156,2759
Austria,AUT2010,8362829,392275107259,46907,2674
Austria,AUT2011,8391201,431685217368,51445,2877
Austria,AUT2012,8429641,409401816051,48567,2662
Austria,AUT2013,8479542,430190979706,50733,2814
Austria,AUT2014,8546066,442584815286,51788,2821
Austria,AUT2015,8642422,381971148531,44197,2412
Austria,AUT2016,8736491,395837353031,45309,2483
Austria,AUT2017,8797497,417261151845,47430,2548
Austria,AUT2018,8840518,454991174096,51467,2690
Austria,AUT2019,8879939,444596155845,50067,2612
Austria,AUT2020,8907780,435049316956,48839,2720
Austria,AUT2021,8922086,479295362747,53720,2665
Belgium,BEL2005,10516979,385714762230,36675,2126
Belgium,BEL2006,10582970,408259840869,38577,2171
Belgium,BEL2007,10653698,470922156309,44203,2440
Belgium,BEL2008,10726720,517328087920,48228,3054
Belgium,BEL2009,10801357,483254171098,44740,2889
Belgium,BEL2010,10877948,481420882905,44257,2851
Belgium,BEL2011,10955742,523330354138,47768,3072
Belgium,BEL2012,11031140,496152879925,44977,2816
Belgium,BEL2013,11103260,521791015247,46994,3116
Belgium,BEL2014,11176727,535390200131,47902,3157
Belgium,BEL2015,11248306,462335574841,41103,2652
Belgium,BEL2016,11316837,476062757357,42067,2718
Belgium,BEL2017,11384491,502764720556,44162,2838
Belgium,BEL2018,11448598,543299066999,47456,3028
Belgium,BEL2019,11510569,535865804350,46554,2949
Belgium,BEL2020,11561716,526021513474,45497,3099
Belgium,BEL2021,11611416,600904461226,51751,3214
Brazil,BRA2000,175873712,655448231984,3727,147
Brazil,BRA2001,178211888,559983634799,3142,121
Brazil,BRA2002,180476688,509795273807,2825,106
Brazil,BRA2004,184722048,669289424806,3623,144
Brazil,BRA2005,186797344,891633839853,4773,214
Brazil,BRA2006,188820688,1107626541711,5866,286
Brazil,BRA2007,190779456,1397114486471,7323,364
Brazil,BRA2008,192672320,1695855083552,8802,464
Brazil,BRA2009,194517552,1666996438681,8570,468
Brazil,BRA2010,196353504,2208837745214,11249,635
Brazil,BRA2011,198185296,2616156223977,13201,757
Brazil,BRA2012,199977712,2465227803012,12328,722
Brazil,BRA2013,201721776,2472819535743,12259,716
Brazil,BRA2014,203459648,2456043727199,12071,718
Brazil,BRA2015,205188208,1802212206905,8783,548
Brazil,BRA2016,206859584,1795693482653,8681,548
Brazil,BRA2017,208504960,2063514977334,9897,626
Brazil,BRA2018,210166592,1916933898038,9121,555
Brazil,BRA2019,211782880,1873288205186,8845,527
Brazil,BRA2020,213196304,1476107231194,6924,400
Bulgaria,BGR2001,8034863,14183446026,1765,60
Bulgaria,BGR2002,7974804,16403043850,2057,70
Bulgaria,BGR2003,7917745,21144957990,2671,107
Bulgaria,BGR2004,7865314,26157743369,3326,77
Bulgaria,BGR2005,7815221,29868657858,3822,157
Bulgaria,BGR2006,7766040,34380536496,4427,173
Bulgaria,BGR2007,7719035,44432811756,5756,212
Bulgaria,BGR2008,7674912,54480684188,7099,299
Bulgaria,BGR2009,7634737,52023801230,6814,291
Bulgaria,BGR2010,7592271,50760929303,6686,258
Bulgaria,BGR2011,7543128,57737040780,7654,271
Bulgaria,BGR2012,7488347,54288135059,7250,252
Bulgaria,BGR2013,7431169,55852123990,7516,305
Bulgaria,BGR2014,7372142,57157782910,7753,316
Bulgaria,BGR2015,7309255,50811995689,6952,272
Bulgaria,BGR2016,7245982,53964253212,7447,253
Bulgaria,BGR2017,7182430,59309748166,8258,337
Bulgaria,BGR2018,7117424,66370132238,9325,377
Bulgaria,BGR2019,7052536,68881010246,9767,410
Bulgaria,BGR2020,6979181,70368758395,10083,454
Bulgaria,BGR2021,6885864,84041493016,12205,524
Canada,CAN2008,33218542,1552989690722,46751,2163
Canada,CAN2009,33593920,1374625142157,40919,1981
Canada,CAN2010,33963416,1617343367486,47620,2551
Canada,CAN2011,34323536,1793326630175,52248,2749
Canada,CAN2012,34691876,1828366481522,52703,2473
Canada,CAN2013,35063696,1846597421835,52664,2417
Canada,CAN2014,35404616,1805749878440,51003,2470
Canada,CAN2015,35732120,1556508816217,43560,2064
Canada,CAN2016,36113532,1527994741907,42311,2038
Canada,CAN2017,36554344,1649265644244,45118,2238
Canada,CAN2018,37035260,1725329192783,46586,2278
Canada,CAN2019,37522584,1743725183673,46471,2218
Canada,CAN2020,37888704,1655684730000,43699,2136
Canada,CAN2021,38155012,2007472181464,52614,2417
Chile,CHL2000,15351803,78339750722,5103,192
Chile,CHL2002,15693798,70264045939,4477,181
Chile,CHL2003,15859114,76492579644,4823,189
Chile,CHL2004,16017966,99075985773,6185,219
Chile,CHL2005,16175315,122294145163,7561,248
Chile,CHL2006,16334573,153843518171,9418,286
Chile,CHL2007,16495543,172491076034,10457,338
Chile,CHL2008,16661463,179894594476,10797,409
Chile,CHL2009,16833450,171777900623,10205,434
Chile,CHL2010,17004166,217051209240,12765,535
Chile,CHL2011,17173568,251382573886,14638,595
Chile,CHL2013,17509926,277395018837,15842,721
Chile,CHL2014,17687108,259560978232,14675,697
Chile,CHL2015,17870122,242450355828,13567,665
Chile,CHL2016,18083880,249344863933,13788,740
Chile,CHL2017,18368582,276154259987,15034,817
Chile,CHL2018,18701452,295857562992,15820,866
Chile,CHL2019,19039484,278285058719,14616,821
Chile,CHL2020,19300318,254042159309,13163,740
Colombia,COL2000,39215136,99875074951,2547,89
Colombia,COL2001,39837876,98200641203,2465,91
Colombia,COL2002,40454056,97945812803,2421,103
Colombia,COL2003,41057688,94644969157,2305,100
Colombia,COL2004,41648272,117092416666,2811,115
Colombia,COL2005,42220944,145600529606,3449,139
Colombia,COL2006,42772912,161792958905,3783,148
Colombia,COL2007,43306592,206229540926,4762,194
Colombia,COL2008,43815316,242504150473,5535,218
Colombia,COL2009,44313916,232468663110,5246,251
Colombia,COL2010,44816104,286498534095,6393,309
Colombia,COL2011,45308896,334966134805,7393,330
Colombia,COL2012,45782420,370691143018,8097,354
Colombia,COL2013,46237928,382093697078,8264,403
Colombia,COL2014,46677944,381240864422,8167,378
Colombia,COL2015,47119728,293492370193,6229,278
Colombia,COL2016,47625960,282720100286,5936,266
Colombia,COL2017,48351668,311866875157,6450,293
Colombia,COL2018,49276968,334198218098,6782,302
Colombia,COL2019,50187404,323031701193,6437,290
Colombia,COL2020,50930656,270348342541,5308,280
Croatia,HRV2002,4482874,26757989561,5969,228
Croatia,HRV2003,4461141,35256066456,7903,306
Croatia,HRV2004,4443351,41855195585,9420,360
Croatia,HRV2005,4429687,45025679590,10165,546
Croatia,HRV2006,4417562,49601653625,11228,562
Croatia,HRV2007,4405542,59320099745,13465,536
Croatia,HRV2008,4393666,68526332324,15597,669
Croatia,HRV2009,4382142,62093280554,14170,622
Croatia,HRV2010,4368680,58836405999,13468,569
Croatia,HRV2011,4351838,62772620899,14424,595
Croatia,HRV2012,4331592,57411354938,13254,692
Croatia,HRV2013,4308854,59589170668,13829,628
Croatia,HRV2014,4283968,59489433515,13887,719
Croatia,HRV2015,4254821,51011170112,11989,596
Croatia,HRV2016,4223748,52740059263,12487,611
Croatia,HRV2017,4192468,56322449844,13434,522
Croatia,HRV2018,4160488,61861145806,14869,587
Croatia,HRV2019,4129749,61867157679,14981,592
Croatia,HRV2020,4096872,58221300898,14211,630
Croatia,HRV2021,4060139,69602166351,17143,892
Czechia,CZE2000,10234712,61828166496,6041,220
Czechia,CZE2001,10230273,67808032980,6628,247
Czechia,CZE2002,10238170,82196001051,8028,318
